一	十	乃	入	卜	人	乂	九	乙	七
八	二	匕	几	丁	刁	刀	力	又	三
上	勺	女	巾	之	大	口	凡	山	寸
丈	弓	刃	小	亡	及	幺	叉	干	工
丸	夕	士	己	下	尸	千	于	久	孑
巳	才	土	也	川	兀	子	六	什	牛
牙	尺	犬	毋	戶	云	爿	日	木	公
文	欠	升	井	父	火	王	月	尹	壬
切	孔	五	少	夫	中	亢	瓦	方	仄
不	心	丐	斤	止	弔	手	內	氏	乏
水	太	分	斗	片	尤	凶	勾	勻	友
夭	今	兮	刈	仍	毛	以	曰	互	比
勿	支	仇	爪	爻	化	引	反	予	元
仁	卅	丹	冗	巨	丑	屯	天	戈	布
冬	世	央	弗	包	去	乎	邙	甘	奴
仙	民	由	丙	刊	田	右	台	氐	他
本	功	印	且	矛	立	幼	加	可	四
白	石	左	平	占	玉	市	丕	出	打
矢	卯	申	半	冊	汁	仕	凸	叱	孕
令	外	句	司	永	氹	弁	示	失	母
尼	古	戊	正	召	生	穴	目	主	叩
用	旦	瓜	艾	叫	巧	代	必	甲	阡
北	仔	叮	囚	斥	兄	乍	皮	叶	史
未	玄	刑	似	牝	伏	次	聿	有	合
羊	匡	夙	丟	舌	那	多	旨	阪	同
廷	池	吃	亙	宅	老	伐	朽	年	向
屹	再	糸	宇	江	迂	共	而	芋	舟
汜	朱	行	至	艮	臣	好	成	光	西
如	曲	列	延	企	全	自	吸	米	忙
劣	仰	屼	匠	汎	安	灰	臼	先	尖
任	汗	并	汲	芝	迄	冰	考	戎	名
在	仲	迅	收	亦	州	芨	邪	芎	吉
早	汝	舛	伍	后	巡	戍	丞	祁	吐
防	危	各	污	血	交	此	妃	寺	竹
色	伊	肉	阮	死	充	夷	休	汐	汙
奸	邦	妄	因	吒	耳	旬	衣	芒	字
守	吊	羽	地	圬	存	百	伸	投	吟
攸	扼	伶	妥	走	男	囪	但	足	完
佞	妒	沛	邑	阿	旰	初	吹	步	床
希	汪	社	抗	低	伴	劬	杜	我	忌
尾	伯	役	呃	佛	攻	秀	旱	壯	豆
近	佇	災	即	私	夾	吾	貝	妝	束
坑	君	忘	坐	陂	佃	材	快	址	汴
豕	沂	卵	扳	佚	芳	姊	究	兌	忤
沐	皂	芥	芽	杖	芸	杏	返	芭	決
位	妍	每	妙	忍	附	宋	坊	劭	迎
甫	芡	灼	系	圻	批	李	住	刪	別
克 	劫	身	伺	芬	見 	汰	呈	序	扶
判 	抄 	芹 	兵 	矣 	利 	花 	困 	車 	均
村 	杞 	妓 	沙 	弄 	弟 	牢 	呆 	狄 	求
佐	甸	灶	迓	肖 	孝	辰	牡	更	吠
吞	含	孚	呂	肝	吳	沈	忱	免	沒
良 	志	沚	否	豸	谷	赤	抔	妊	言
作	折	祀	角	何	禿	妖	形	阻	汶
戒	狂	助	改	伻	羌	岐	巫	屈	罔
戔	府	京	東	兩	昂	河	帑	枕	若
佽	姑	拋	知	底	易	居	弦	祈	武
舍	爭	所	於	降	朋	亞	狗	味	坦
秈	押	坰	育	盂	茂	拖	侖	明	抹
迫	奄  	物	糾	孤	刺	卑	佾	和	空
放	阜	服	性	岱	昆	弩	苟	昇	岫
枝	昔	杳 	宜	杼 	奉	岸	坤	杵	拈
英	青	苞	欣	茅	囹	苓	者	典	苦
例	的	妻	妾	枇	姍	金	泓	杷	炬
卷	委	直	祇	函	具	耶	拉	妹	苔
穹	陋	兒	泳	迢	呴	劾	斧	狐	怪
供	虯	肯	治	狀	抱	怏	周	非	受
岵	注	奔	往	岡	炙	沸	卓	虎	其
肢	述	狒	矼	泔	況	尚	依	來	侍
侔	命	奇	承	迨	雨	旺	屆	泥	制
玨	姓	秉	苫	股	炎	庖	囷	郎	定
波	帖 	沿	林 	庚 	使	店	板	炒	泌
佯	沼	油	苾	始	協	垂	拘	軋	盲
刲	臥	官	怛	並	肥	抽	孟	併	氓
苴	券	表	彼	沮	固	歿	拔	果	披
呿	亟	忠	刻	陌	杪	念	卦	征	到
肱	徂	些 	咈	侑	季	取	夜	昏	忿
矽	咼	佳	忽	泄	建	肩	幸	枚	昌
戾	呱	或	茄	宗	怍	法	宙	昃	狎
長	房	苻	門	叔	牧	乳	招	呼	盱
拚	炊	侈	怵	事	狙	拯	政	郤	染
郟	前	剋	迷	俐	待	拜	竿	柘	冠
俚	姿	為	屏	退	挑	垠	科	砭	柚
洛	骨	俟	柱	昭	囿	瓴	重	荊	柯
柄	俗	促	俑	逃	度	姨	陣	厘	信
括	紆	陘	紅	枹	紂	怒	茸	紇	城
約	宣	級	砌	扃	恆	侯	紀	紉	省
故	盾	俛	柔	俞	威	俠l	侶	祗	奐
貞	柝	殆	負	屋	封	茗	首	韋	俁
相	洩	頁	巷	食	勉	哀	除	胞	眄
音	祖	垢	星	洧	垣	兗	胝	紈	是
茲	盃	洪	枳	既	茶	革	軍	荀	盈
叛	品	禹	恬	庭	津	拽	胙	胎	室
屍	秋	指	茨	祜	皆	奎	祠	徊	奏
咨	查	祚	風	昧	郡	則	荃	柵	帝
皇	剄	甚	要	背	姪	恤	削	飛	神
映	癸	恃	泉	茯	研	差	勁	修	矜
衿	耇	送	荄	舁	曷	陛	帥	眉	面
珍	洞	柁	軌	怨	施	卻	巹	計	訂
穿	衲	訃	追	姦	厙	陟	姻	祝	炭
爰	荒	畏	孩	迴	香	思	亭	客	挎
後	南	彥	柑	牲	鬼	厚	恢	侵	看
洗  美  	洶  	急  拾  	俊  	勇  保  	按  	冒
春	矩	逆	哉	罘	柳	恰	耐	虹	柰
